title,releaseDate,productionCompany
"Arise, My Love",1940-11-08,Paramount Pictures
Comrade X,1940-12-13,Metro-Goldwyn-Mayer
"Edison, the Man",1940-05-10,Metro-Goldwyn-Mayer
My Favorite Wife,1940-05-17,RKO Radio Pictures
London Can Take It!,1999-09-19,GPO Film Unit
"Teddy, the Rough Rider",1940-02-24,Warner Bros.
The Milky Way,1940-06-22,MGM cartoon studio Rudolf Ising Productions
Puss Gets the Boot,1940-02-10,MGM Cartoons
Puss Gets the Boot,1940-02-10,Rudolf Ising Productions
A Wild Hare,1940-07-27,Leon Schlesinger Productions
Pinocchio,1940-02-07,Walt Disney Productions
Arizona,1940-12-25,Columbia Pictures
Dark Command,1940-04-15,Republic Pictures
The Fight for Life,1940-03-07,United States Film Service
The House of the Seven Gables,1940-02-29,Universal Pictures Co.
Northwest Mounted Police,1940-10-21,Paramount Pictures
One Million B.C.,1940-04-05,Hal Roach Studios
The Thief of Bagdad,1940-12-05,London Films
Waterloo Bridge,1940-05-17,Metro-Goldwyn-Mayer
Hit Parade of 1941,1940-10-15,Republic Pictures
Second Chorus,1940-12-03,Paramount Pictures
Spring Parade,1940-09-27,Universal Studios
Strike Up the Band,1940-09-27,Metro-Goldwyn-Mayer
You'll Find Out,1940-11-22,RKO Radio Pictures
Rhythm on the River,1940-09-06,Paramount Pictures
Behind the News,1940-12-20,Republic Pictures
Captain Caution,1940-08-09,Hal Roach Studios
Too Many Husbands,1940-03-21,Columbia Pictures
Pride and Prejudice,1940-07-26,Metro-Goldwyn-Mayer
Lillian Russell,1940-05-24,20th Century Fox
"My Son, My Son!",1940-03-22,Edward Small Productions
Bitter Sweet,1940-11-08,Metro-Goldwyn-Mayer
Boom Town,1940-08-30,Metro-Goldwyn-Mayer
The Blue Bird,1940-01-15,Twentieth Century-Fox Film Corporation
Northwest Passage,1940-02-23,Metro-Goldwyn-Mayer
Dr. Cyclops,1940-04-12,Paramount Pictures
The Invisible Man Returns,1940-01-12,Universal Pictures
Swiss Family Robinson,1940-02-08,The Play's The Thing Productions
Typhoon,1940-04-25,Paramount Pictures
How Green Was My Valley,1941-10-28,Twentieth Century Fox
Blossoms in the Dust,1941-06-26,Metro-Goldwyn-Mayer Mervyn LeRoy Productions
Citizen Kane,1941-05-01,RKO Radio Pictures
Citizen Kane,1941-05-01,Mercury Productions
Here Comes Mr. Jordan,1941-08-07,Columbia Pictures
Hold Back the Dawn,1941-09-26,Paramount Pictures
The Little Foxes,1941-08-29,Samuel Goldwyn Productions
The Maltese Falcon,1941-10-03,Warner Bros.
One Foot in Heaven,1941-10-02,Warner Bros.
Sergeant York,1941-07-02,Warner Bros.
Suspicion,1941-11-14,RKO Radio Pictures
Penny Serenade,1941-04-24,Columbia Pictures
The Devil and Daniel Webster,1941-10-17,William Dieterle Productions
Ball of Fire,1941-12-02,Samuel Goldwyn Productions
The Devil and Miss Jones,1941-04-04,Frank Ross-Norma Krasna
The Great Lie,1941-04-12,Warner Bros.
"Tall, Dark and Handsome",1941-01-24,20th Century Fox
"Tom, Dick and Harry",1941-06-13,RKO Radio Pictures
The Lady Eve,1941-02-25,Paramount Pictures
Meet John Doe,1941-05-03,Frank Capra Productions
Night Train to Munich,1940-07-26,20th Century Productions
Churchill's Island,1999-09-19,"National Film Board of Canada Associated Screen Studios, Montreal"
Adventure in the Bronx,1999-09-19,Film Associates for the New York Zoological Society
Bomber: A Defense Report on Film,1941-10-03,United States Office for Emergency Management Film Unit
Christmas Under Fire,1999-09-19,Crown Film Unit
A Letter from Home,1999-09-19,Twentieth Century-Fox
Norway in Revolt,1999-09-19,Time Inc.
A Place to Live,1999-09-19,Documentary Film Productions for the Philadelphia Housing Association
Warclouds in the Pacific,1941-12-01,National Film Board of Canada
Down on the Farm,1941-08-18,Paramount Pictures
Lend a Paw,1941-10-03,Walt Disney Productions
Hiawatha's Rabbit Hunt,1941-06-07,Leon Schlesinger Productions
The Night Before Christmas,1941-12-06,MGM Cartoons
Rhapsody in Rivets,1941-12-06,Leon Schlesinger Productions
The Rookie Bear,1941-05-17,MGM Cartoons
Superman,1941-09-26,Fleischer Studios
Truant Officer Donald,1941-08-01,Walt Disney Productions
Back Street,1941-02-07,Universal Pictures
Cheers for Miss Bishop,1941-02-21,Richard A. Rowland Productions
Dr. Jekyll and Mr. Hyde,1941-08-12,Metro-Goldwyn-Mayer
King of the Zombies,1941-05-14,"Sterling Productions, Inc."
Ladies in Retirement,1941-09-18,Columbia Pictures
Lydia,1941-09-18,Alexander Korda Films London Films
Mercy Island,1941-10-10,Republic Pictures
So Ends Our Night,1941-02-27,David L. Loew-Albert Lewin Productions
Sundown,1941-10-16,Walter Wanger Productions
Tanks a Million,1941-09-12,Hal Roach Studios
That Uncertain Feeling,1941-04-20,Ernst Lubitsch Productions Sol Lesser Productions
This Woman is Mine,1941-08-22,Frank Lloyd Productions
Dumbo,1941-10-23,Walt Disney Productions
All-American Co-ed,1941-10-31,"Hal Roach Studios, Inc."
Birth of the Blues,1941-11-07,Paramount Pictures
Buck Privates,1941-01-31,Universal Pictures
The Chocolate Soldier,1941-10-31,Metro-Goldwyn-Mayer
Ice-Capades,1941-08-20,Republic Pictures
The Strawberry Blonde,1941-02-21,Warner Bros.
Sun Valley Serenade,1941-08-21,Twentieth Century Fox
Sunny,1941-05-30,Suffolk Productions
You'll Never Get Rich,1941-09-25,Columbia Pictures
Lady Be Good,1941-09-01,Metro-Goldwyn-Mayer
Ridin' on a Rainbow,1941-01-24,Republic Pictures
Blues in the Night,1941-11-15,Warner Bros.
Las Vegas Nights,1941-03-28,Paramount Pictures
That Hamilton Woman(Lady Hamilton),1941-04-30,London Films
Appointment for Love,1941-10-31,Universal Pictures
The Devil Pays Off,1941-11-10,Republic Pictures
The Men in Her Life,1941-10-30,Gregory Ratoff Productions
Skylark,1941-11-21,Paramount Pictures
Topper Returns,1941-03-21,Hal Roach Studios
The Flame of New Orleans,1941-04-06,Universal Pictures
The Son of Monte Cristo,1940-12-04,Edward Small Productions
When Ladies Meet,1941-08-29,Metro-Goldwyn-Mayer
Sis Hopkins,1941-04-12,Republic Pictures
Blood and Sand,1941-05-22,20th Century Fox
Louisiana Purchase,1941-12-25,Paramount Pictures
Aloma of the South Seas,1941-08-27,Paramount Pictures
Billy the Kid,1941-05-30,Metro-Goldwyn-Mayer
Dive Bomber,1941-08-30,Warner Bros.
I Wanted Wings,1941-03-26,Paramount Pictures
Flight Command,1940-12-27,Metro-Goldwyn-Mayer
The Invisible Woman,1940-12-27,"Universal Pictures Company, Inc."
The Sea Wolf,1941-03-21,Warner Bros.
A Yank in the R.A.F.,1941-09-25,Twentieth Century Fox
Mrs. Miniver,1942-06-04,Metro-Goldwyn-Mayer
49th Parallel,1941-10-08,Ortus Films
Kings Row,1942-02-02,Warner Bros.
The Magnificent Ambersons,1942-07-10,RKO Radio Pictures Mercury Productions
The Pride of the Yankees: The Life of Lou Gehrig,1942-07-14,Samuel Goldwyn Productions
Random Harvest,1942-12-17,Metro-Goldwyn-Mayer
The Talk of the Town,1942-08-20,Columbia Pictures
Wake Island,1942-09-01,Paramount Pictures
Woman of the Year,1942-02-19,Metro-Goldwyn-Mayer
My Sister Eileen,1942-09-24,Columbia Pictures
Johnny Eager,1941-12-09,Metro-Goldwyn-Mayer
Tortilla Flat,1942-05-21,Metro-Goldwyn-Mayer
Holiday Inn,1942-08-04,Paramount Pictures
The Battle of Midway,1942-09-14,United States Navy
Kokoda Front Line!,1942-09-18,Cinesound Productions
"Africa, Prelude to Victory",1942-12-04,The March of Time
The Grain That Built a Hemisphere,1943-01-04,Walt Disney Productions
"Henry Browne, Farmer",1942-11-15,Republic Pictures United States Department of Agriculture
Inside Fighting China,1999-09-19,National Film Board of Canada
It's Everybody's War,1942-11-06,20th Century Fox
Listen to Britain,1999-09-19,Crown Film Unit
The New Spirit,1942-01-23,U.S. Department of the Treasury Walt Disney Productions
A Ship Is Born,1942-10-10,U.S. Merchant Marine
Beyond the Line of Duty,1942-11-07,The U.S. Army Signal Corps Photographic Section
Private Smith of the U.S.A.,1942-10-02,RKO Radio Pictures
Der Fuehrer's Face,1943-01-01,Walt Disney Productions
Blitz Wolf,1942-08-22,MGM Cartoons
Pigs in a Polka,1943-02-06,Leon Schlesinger Studios
Tulips Shall Grow,1942-01-26,George Pal Productions
Arabian Nights,1942-12-25,Walter Wanger presents
Bambi,1942-08-09,Walt Disney Productions
The Corsican Brothers,1941-11-28,Edward Small Productions
Flying Tigers,1942-10-08,Republic Pictures
I Married a Witch,1942-10-30,Paramount Pictures
Joan of Paris,1942-02-20,RKO Radio Pictures
Jungle Book,1942-04-03,"Alexander Korda Films, Inc."
Klondike Fury,1999-09-19,King Brothers Productions
The Shanghai Gesture,1941-12-25,Arnold Pressburger Films
Silver Queen,1942-11-13,United Artists
To Be or Not to Be,1942-02-19,Romaine Film Corp.
Flying with Music,1942-05-22,Hal Roach Studios
For Me and My Gal,1942-10-21,Metro-Goldwyn-Mayer
It Started with Eve,1941-09-26,Universal Pictures
Johnny Doughboy,1942-12-31,Republic Pictures
You Were Never Lovelier,1942-11-19,Columbia Pictures
Babes on Broadway,1941-12-31,Metro-Goldwyn-Mayer
Orchestra Wives,1942-09-04,Twentieth Century Fox
Youth on Parade,1942-10-24,Republic Pictures
Hellzapoppin',1941-12-25,Mayfair Productions
Friendly Enemies,1942-06-21,Edward Small Productions
George Washington Slept Here,1942-11-28,"Warner Bros. Pictures, Inc."
The Spoilers,1942-06-11,Frank Lloyd Productions Charles K. Feldman Group
Reap the Wild Wind,1942-03-18,Paramount Pictures
Moontide,1942-04-29,20th Century Fox
Ten Gentlemen from West Point,1942-06-26,20th Century Fox
Desperate Journey,1942-09-25,Warner Bros.
Invisible Agent,1942-07-31,"Universal Pictures Company, Inc."
Invisible Agent,1942-07-31,"Frank Lloyd Productions, Inc."
The Navy Comes Through,1942-10-27,RKO Radio Pictures
Casablanca,1942-11-26,"Warner Bros. Pictures, Inc."
For Whom the Bell Tolls,1943-07-14,Paramount Pictures
Heaven Can Wait,1943-08-11,20th Century Fox
The Human Comedy,1943-03-02,Metro-Goldwyn-Mayer
Madame Curie,1943-12-15,Metro-Goldwyn-Mayer
The More the Merrier,1943-05-13,Columbia Pictures
Watch on the Rhine,1943-08-27,Warner Bros.
Sahara,1943-11-11,Columbia Pictures
So Proudly We Hail!,1943-09-09,Paramount Pictures
Princess O'Rourke,1943-10-23,Warner Bros. Pictures
The North Star,1943-11-04,Samuel Goldwyn Productions
Action in the North Atlantic,1943-06-12,Warner Bros. Pictures
Destination Tokyo,1943-12-15,Warner Bros.
Shadow of a Doubt,1943-01-12,Skirball Productions
Desert Victory,1999-09-19,Army Film and Photographic Unit Royal Air Force Film Production Unit
Baptism of Fire,1999-09-19,Signal Corps
The Battle of Russia,1943-11-13,U.S. Army Pictorial Service
Report from the Aleutians,1943-07-30,Army Pictorial Service
War Department Report,1943-12-07,Office of Strategic Services
Swedes in America,1943-11-08,United States Office of War Information
Tomorrow We Fly,1999-09-19,Bureau of Aeronautics
Youth in Crisis,1943-11-05,Time Inc.
The Yankee Doodle Mouse,1943-06-26,MGM cartoon studio
The Dizzy Acrobat,1943-05-21,Walter Lantz Productions
Greetings Bait,1943-05-15,Warner Bros. Cartoons
Reason and Emotion,1943-08-28,Walt Disney Productions
The Amazing Mrs. Holliday,1943-02-19,Universal Pictures
Commandos Strike at Dawn,1942-12-30,Columbia Pictures
The Fallen Sparrow,1943-08-19,RKO Radio Pictures
Hangmen Also Die!,1943-03-27,Arnold Pressburger Films
Hi Diddle Diddle,1943-08-02,Andrew L. Stone Productions
In Old Oklahoma,1943-12-06,Republic Pictures
Johnny Come Lately,1943-09-03,William Cagney Productions
The Kansan,1943-09-10,Harry Sherman Productions
Victory Through Air Power,1943-07-17,Walt Disney Productions
This Is the Army,1943-08-14,Warner Bros.
Hit Parade of 1943,1943-03-26,Republic Pictures
