iteration,category,movie,person_first,person_last,winner,movie_link,person_link
3rd,Best Writing,Disraeli,Julien,Josephson,False,https://en.wikipedia.org/wiki/Disraeli_(1929_film),https://en.wikipedia.org/wiki/Julien_Josephson
3rd,Best Writing,The Divorcee,John,Meehan,False,https://en.wikipedia.org/wiki/The_Divorcee,https://en.wikipedia.org/wiki/John_Meehan_(screenwriter)
3rd,Best Writing,Street of Chance,Howard,Estabrook,False,https://en.wikipedia.org/wiki/Street_of_Chance_(1930_film),https://en.wikipedia.org/wiki/Howard_Estabrook
3rd,Best Sound Recording,The Big House,Douglas,Shearer,True,https://en.wikipedia.org/wiki/The_Big_House_(1930_film),https://en.wikipedia.org/wiki/Douglas_Shearer
3rd,Best Sound Recording,The Case of Sergeant Grischa,John,E. Tribby,False,https://en.wikipedia.org/wiki/The_Case_of_Sergeant_Grischa_(film),https://en.wikipedia.org/wiki/John_Tribby
3rd,Best Sound Recording,The Love Parade,Franklin,Hansen,False,https://en.wikipedia.org/wiki/The_Love_Parade,https://en.wikipedia.org/wiki/Franklin_Hansen
3rd,Best Sound Recording,Raffles,Oscar,Lagerstrom,False,https://en.wikipedia.org/wiki/Raffles_(1930_film),https://en.wikipedia.org/wiki/Oscar_Lagerstrom
3rd,Best Sound Recording,Song of the Flame,George,Groves,False,https://en.wikipedia.org/wiki/Song_of_the_Flame_(film),https://en.wikipedia.org/wiki/George_Groves_(sound_engineer)
3rd,Best Production Design,King of Jazz,Herman,Rosse,True,https://en.wikipedia.org/wiki/King_of_Jazz,https://en.wikipedia.org/wiki/Herman_Rosse
3rd,Best Production Design,Bulldog Drummond,William,Cameron Menzies,False,https://en.wikipedia.org/wiki/Bulldog_Drummond_(1929_film),https://en.wikipedia.org/wiki/William_Cameron_Menzies
3rd,Best Production Design,The Love Parade,Hans,Dreier,False,https://en.wikipedia.org/wiki/The_Love_Parade,https://en.wikipedia.org/wiki/Hans_Dreier
3rd,Best Production Design,Sally,Jack,Okey,False,https://en.wikipedia.org/wiki/Sally_(1929_film),https://en.wikipedia.org/wiki/Jack_Okey
3rd,Best Production Design,The Vagabond King,,,False,https://en.wikipedia.org/wiki/The_Vagabond_King_(1930_film),
3rd,Best Cinematography,With Byrd at the South Pole,Joseph,T. Rucker,True,https://en.wikipedia.org/wiki/With_Byrd_at_the_South_Pole,https://en.wikipedia.org/wiki/Joseph_T._Rucker
3rd,Best Cinematography,All Quiet on the Western Front,Arthur,Edeson,False,https://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(1930_film),https://en.wikipedia.org/wiki/Arthur_Edeson
3rd,Best Cinematography,Anna Christie,William,Daniels,False,https://en.wikipedia.org/wiki/Anna_Christie_(1930_English-language_film),https://en.wikipedia.org/wiki/William_Daniels_(cinematographer)
3rd,Best Cinematography,Hell's Angels,Tony,Gaudio,False,https://en.wikipedia.org/wiki/Hell%27s_Angels_(film),https://en.wikipedia.org/wiki/Tony_Gaudio
3rd,Best Cinematography,The Love Parade,Victor,Milner,False,https://en.wikipedia.org/wiki/The_Love_Parade,https://en.wikipedia.org/wiki/Victor_Milner
4th,Best Picture,Cimarron,William,LeBaron,True,https://en.wikipedia.org/wiki/Cimarron_(1931_film),https://en.wikipedia.org/wiki/William_LeBaron
4th,Best Picture,East Lynne,Winfield,Sheehan,False,https://en.wikipedia.org/wiki/East_Lynne_(1931_film),https://en.wikipedia.org/wiki/Winfield_Sheehan
4th,Best Picture,The Front Page,Howard,Hughes,False,https://en.wikipedia.org/wiki/The_Front_Page_(1931_film),https://en.wikipedia.org/wiki/Howard_Hughes
4th,Best Picture,Skippy,Adolph,Zukor,False,https://en.wikipedia.org/wiki/Skippy_(film),https://en.wikipedia.org/wiki/Adolph_Zukor
4th,Best Picture,Trader Horn,Irving,Thalberg,False,https://en.wikipedia.org/wiki/Trader_Horn_(1931_film),https://en.wikipedia.org/wiki/Irving_Thalberg
4th,Best Director,Skippy,Norman,Taurog,True,https://en.wikipedia.org/wiki/Skippy_(film),https://en.wikipedia.org/wiki/Norman_Taurog
4th,Best Director,Cimarron,Wesley,Ruggles,False,https://en.wikipedia.org/wiki/Cimarron_(1931_film),https://en.wikipedia.org/wiki/Wesley_Ruggles
4th,Best Director,A Free Soul,Clarence,Brown,False,https://en.wikipedia.org/wiki/A_Free_Soul,https://en.wikipedia.org/wiki/Clarence_Brown
4th,Best Director,The Front Page,Lewis,Milestone,False,https://en.wikipedia.org/wiki/The_Front_Page_(1931_film),https://en.wikipedia.org/wiki/Lewis_Milestone
4th,Best Director,Morocco,Josef,von Sternberg,False,https://en.wikipedia.org/wiki/Morocco_(film),https://en.wikipedia.org/wiki/Josef_von_Sternberg
4th,Best Actor,A Free Soul,Lionel,Barrymore,True,https://en.wikipedia.org/wiki/A_Free_Soul,https://en.wikipedia.org/wiki/Lionel_Barrymore
4th,Best Actor,Skippy,Jackie,Cooper,False,https://en.wikipedia.org/wiki/Skippy_(film),https://en.wikipedia.org/wiki/Jackie_Cooper
4th,Best Actor,Cimarron,Richard,Dix,False,https://en.wikipedia.org/wiki/Cimarron_(1931_film),https://en.wikipedia.org/wiki/Richard_Dix
4th,Best Actor,The Royal Family of Broadway,Fredric,March,False,https://en.wikipedia.org/wiki/The_Royal_Family_of_Broadway,https://en.wikipedia.org/wiki/Fredric_March
4th,Best Actor,The Front Page,Adolphe,Menjou,False,https://en.wikipedia.org/wiki/The_Front_Page_(1931_film),https://en.wikipedia.org/wiki/Adolphe_Menjou
4th,Best Actress,Min and Bill,Marie,Dressler,True,https://en.wikipedia.org/wiki/Min_and_Bill,https://en.wikipedia.org/wiki/Marie_Dressler
4th,Best Actress,Morocco,Marlene,Dietrich,False,https://en.wikipedia.org/wiki/Morocco_(film),https://en.wikipedia.org/wiki/Marlene_Dietrich
4th,Best Actress,Cimarron,Irene,Dunne,False,https://en.wikipedia.org/wiki/Cimarron_(1931_film),https://en.wikipedia.org/wiki/Irene_Dunne
4th,Best Actress,Holiday,Ann,Harding,False,https://en.wikipedia.org/wiki/Holiday_(1930_film),https://en.wikipedia.org/wiki/Ann_Harding
4th,Best Actress,A Free Soul,Norma,Shearer,False,https://en.wikipedia.org/wiki/A_Free_Soul,https://en.wikipedia.org/wiki/Norma_Shearer
4th,Best Original Story,The Dawn Patrol,John,Monk Saunders,True,https://en.wikipedia.org/wiki/The_Dawn_Patrol_(1930_film),https://en.wikipedia.org/wiki/John_Monk_Saunders
4th,Best Original Story,The Doorway to Hell,Rowland,Brown,False,https://en.wikipedia.org/wiki/The_Doorway_to_Hell,https://en.wikipedia.org/wiki/Rowland_Brown
4th,Best Original Story,Laughter,Harry,d'Abbadie d'Arrast,False,https://en.wikipedia.org/wiki/Laughter_(1930_film),https://en.wikipedia.org/wiki/Harry_d%27Abbadie_d%27Arrast
4th,Best Original Story,The Public Enemy,John,Bright,False,https://en.wikipedia.org/wiki/The_Public_Enemy,https://en.wikipedia.org/wiki/John_Bright_(screenwriter)
4th,Best Original Story,Smart Money,Lucien,Hubbard,False,https://en.wikipedia.org/wiki/Smart_Money_(1931_film),https://en.wikipedia.org/wiki/Lucien_Hubbard
