title,releasedate,budget,boxOffice,runtime,movieLanguage
American Hustle,2013-12-08,$40 million,$251.2 million,138,English
Gravity,2013-08-28,$80–130 million,$723.2 million,91,English
Philomena,2013-08-31,$12 million,$100.1 million,98,English
August: Osage County,2013-09-09,$37 million,$74.2 million,120,English
Dallas Buyers Club,2013-09-07,$5 million,$55 million,117,English
Captain Phillips,2013-09-27,$55 million,$218 million,134,English
American Hustle,2013-12-08,$40 million,$251.2 million,138,English
12 Years a Slave,2013-08-30,$20–22 million,$187.7 million,134,English
The Wolf of Wall Street,2013-12-17,$100 million,$407 million,180,English
12 Years a Slave,2013-08-30,$20–22 million,$187.7 million,134,English
Blue Jasmine,2013-07-26,$18 million,$99.1 million,98,English
American Hustle,2013-12-08,$40 million,$251.2 million,138,English
August: Osage County,2013-09-09,$37 million,$74.2 million,120,English
Nebraska,2013-05-23,$13.5 million,$27.7 million,115,English
Her,2013-10-12,$23 million,$48.3 million,126,English
American Hustle,2013-12-08,$40 million,$251.2 million,138,English
Blue Jasmine,2013-07-26,$18 million,$99.1 million,98,English
Dallas Buyers Club,2013-09-07,$5 million,$55 million,117,English
Nebraska,2013-05-23,$13.5 million,$27.7 million,115,English
12 Years a Slave,2013-08-30,$20–22 million,$187.7 million,134,English
Before Midnight,2013-01-20,$3 million,$23.3 million,109,English
Captain Phillips,2013-09-27,$55 million,$218 million,134,English
Philomena,2013-08-31,$12 million,$100.1 million,98,English
The Wolf of Wall Street,2013-12-17,$100 million,$407 million,180,English
Frozen,2013-11-19,$150 million,$1.280 billion,102,English
The Croods,2013-02-15,$135–175 million,$587.3 million,98,English
Despicable Me 2,2013-06-05,$76 million,$971 million,98,English
Ernest & Celestine,2012-05-23,€ 8.9 million,$8.1 million,80,French
The Wind Rises,2013-07-20,US$ 30 million,US$136.5 million,126,Japanese
The Great Beauty,2013-05-21,€9.2 million,$24.9 million,142,Italian
The Broken Circle Breakdown,2012-10-10,,$6 million,111,Dutch
The Hunt,2012-05-20,$3.45 million,$18.3 million,115,Danish
The Missing Picture,2013-05-19,,,92,French
Omar,2013-05-21,,,96,Arabic
20 Feet from Stardom,2013-01-17,$1 million,$5.8 million,90,English
The Act of Killing,2012-08-31,$1 million,"$722,714",122,Indonesian
Cutie and the Boxer,2013-01-19,,"$199,100",82,English
Dirty Wars,2013-01-18,,"$371,245",86,English
The Square (El-Midan),2013-01-18,$1.5 million,"$124,244",108,Egyptian
The Lady in Number 6: Music Saved My Life,2013,,,39,English
Cavedigger,2013-01,,,39,
Facing Fear,2013-07,,,23,
Karama Has No Walls,2012-10,,,26,
Prison Terminal: The Last Days of Private Jack Hall,2013,,,40,
Helium,2014-01-25,,,23,Danish
The Voorman Problem,2011-10-01,,,13,English
Mr Hublot,2013-10-15,,,11,
Feral,2012-08,,,13,English
Get a Horse!,2013-06-11,,,6,English
Gravity,2013-08-28,$80–130 million,$723.2 million,91,English
The Book Thief,2013-10-03,$19 million,$76.6 million,130,English
Her,2013-10-12,$23 million,$48.3 million,126,English
